gas_price,gas_used,nonce
38978350884,238612,2484,1
14479015203,147539,263,1
13260968530,249340,79692,1
38140981434,500000,2040,1
71051141912,300000,30970,1
26000000000,181243,4712,1
71051141912,300000,30969,1
153547875000,21002,2349,1
14959246242,247726,10545,1
1165608057900,71000,63,1
1553212678888,161974,77,1
12536902402,380270,416,1
18698396876,500000,2298,1
22247786135,180129,1276,1
14330682135,399078,11783,1
9229009237,1972009,7267,1
10950573799,349083,42,1
9229009237,1972009,16997,1
10229009237,1000000,85729,1
12131711282,975570,961,1
18443914864,150751,24646,1
210968212266,263913,828,1
13495413645,312782,10891,1
865284750000,21001,2348,1
493238906115,500000,1869,1
12159431035,308328,10853,1
7000425036,177848,9135,1
14210862823,250000,44708480,1
14210862823,250000,44708479,1
69222815151,331928,50779,1
12483269691,369047,740,1
7013490567,339822,50778,1
11432332900,315442,89583,1
31820644539,502392,222,1
9203012565,60667,4568,1
29360014854,21015,162450,1
16339540536,21015,105051,1
10162294927,229624,76450,1
10162294927,309526,99467,1
131068617090,500000,1727,1
9874701585,46551,124,1
10862181618,330295,23,1
10862181618,93277,22,1
14888066394,261368,360,1
16848347699,209400,11116,1
14524408455,256195,10186,1
17162895911,257152,232,1
28304925947,211471,11115,1
77076074074,125074,221030,1
50446249860,227790,1393,1
9307859417,239014,553,1
6418989221,243685,1392,1
8023736526,98748,8008,1
70000000000,330211,111,1
8023736526,99143,8007,1
11272911090,242526,3609,1
11272911090,219314,3633,1
11272911090,247776,10478,1
11272911090,554882,10892,1
10187284596,219300,10789,1
10187284596,242582,3631,1
91120959333,600000,1643,1
264829128817,500000,1793,1
8558902849,309534,76449,1
12305123599,250000,44708476,1
12305123599,250000,44708475,1
12305123599,250000,44708474,1
9802036619,1057794,87,1
117021321102,140301,85514,1
8832917977,287352,59,1
6656517362,145868,85513,1
15021555377,5000000,336,1
8260289211,338696,8782,1
10999746503,287389,26,1
14545470100,300003,162440,1
15022384009,300003,61996,1
12000000000,21000,1824,1
12000000000,21000,1792,1
18457406875,213138,1645,1
32604695372,340146,110222,1
18179498228,500000,1868,1
31603817779,600000,2010,1
12272689606,500001,8023,1
9204517204,243612,100413,1
50407168451,500000,1724,1
100938746508,170714,61,1
439823921281,71000,73,1
10844611714,312938,10699,1
6794135614,430465,45500,1
7939440048,241770,100246,1
7273326321,228780,111399,1
10653091293,280451,5978,1
7273326321,231966,74938,1
7273326321,256166,103038,1
5454994740,1972009,7266,1
7984773446,217372,157,1
5454994740,1972009,16995,1
14899489050,206228,85512,1
10319866746,185571,81,1
5292960032,201979,85511,1
8730966808,253106,79688,1
7939440048,244244,100412,1
11133164335,500000,4786,1
19965166131,321465,3037,1
14915686539,21015,61995,1
16527816443,700000,10764,1
46000000000,120000,4,1
46000000000,120000,27,1
52000000000,21000,155913,1
127023109582,269256,74686,1
20584411803,437349,558,1
10361633371,221278,10872,1
9634717525,226654,103037,1
10361633371,242348,10773,1
50133244836,600000,1816,1
10361633371,310258,10800,1
19846368674,211471,11114,1
11895836940,63605,291,1
10217741601,283930,161,1
27539053234,404073,76,1
11100015991,248626,89578,1
11100015991,244500,100411,1
8937493987,74978,9436,1
8937493987,81438,9432,1
8937493987,81580,9371,1
8283936241,333322,80749,1
11488103588,46267,25,1
10687480722,257078,110219,1
9505585647,222573,10185,1
9566703788,274505,8095,1
7124987148,500000,3,1
49804855413,129936,85510,1
13458489196,243106,258,1
7124987148,139795,85509,1
51710435802,71000,62,1
13491532314,500001,8022,1
36746997654,500000,1749,1
38164797372,500000,1672,1
142756612884,249112,33864,1
11916553149,230721,1306,1
7124987148,280034,33863,1
65421235996,500000,1783,1
10687480722,229728,99892,1
12349610302,312796,10401,1
120541660000,229937,42826,1
8000000000,139532,15,1
10655464347,352005,80748,1
8812773431,21000,1,1
39780000000,21000,175,1
39780000000,21000,113,1
7215419201,398054,7681,1
11100468617,302928,24645,1
12000000000,21000,2027,1
29311000165,144087,8004,1
10599388479,236484,273,1
8573688018,182295,8003,1
13785334593,272140,41776,1
19148457545,300000,61993,1
18033414081,270781,8828,1
10288425623,272624,82246,1
122144384773,92158,9000,1
15270309372,705867,2021,1
8573688018,101799,8999,1
10288425622,280928,100245,1
11942752008,200054,10591,1
28422749575,300003,162436,1
40124916891,400000,12882,1
10288425622,1541260,89646,1
12831246396,1487554,0,1
10288425622,1541260,89645,1
207464618339,152316,33862,1
13458489196,364802,15,1
6858950415,171846,33861,1
264621698453,129212,85508,1
10599388479,190500,509,1
6858950415,138997,85507,1
8323419656,2500000,4179,1
47437641386,151852,33860,1
18398595250,217067,1081,1
6510644526,171382,33859,1
11412511003,242536,10806,1
9765966789,237242,92047,1
9765966789,310232,99457,1
71789859468,500000,1723,1
9166158600,312156,89644,1
9951870624,297744,100241,1
42511801745,500000,1791,1
51108162216,335508,4906,1
225447521484,21002,2347,1
231498791015,21001,8021,1
9951870624,241330,92046,1
464910105567,71000,72,1
389484888511,500000,1630,1
11551810555,242458,10566,1
11551810555,247682,10853,1
11551810555,247714,3579,1
374503072105,350000,5386,1
9373911840,238394,110213,1
9373911840,296922,103031,1
51503691706,207813,41654,1
12431737794,152769,1231,1
6430286205,213717,41653,1
389604279174,145043,8566,1
8000000000,251899,861,1
8037857756,158804,8565,1
10202410396,552728,10500,1
8573803345,296878,99887,1
5479051845,1430557,64,1
9137205710,705504,39618,1
84763642159,300000,162423,1
8176760244,236606,89639,1
9800077258,242508,10498,1
8176760244,266678,101247,1
9800077258,247778,3590,1
10206009610,526390,10900,1
10206009610,247852,3665,1
9342916938,657584,99451,1
39915103042,600000,2009,1
250000000000,700000,547,1
11576625014,500001,8020,1
10312705791,308326,10802,1
10312705791,247810,3609,1
11404877254,250000,44708272,1
11404877254,250000,44708271,1
11404877254,250000,44708270,1
11404877254,250000,44708269,1
11404877254,250000,44708268,1
11404877254,250000,44708267,1
11404877254,250000,44708266,1
11404877254,250000,44708265,1
11404877254,250000,44708264,1
11404877254,250000,44708263,1
11404877254,250000,44708262,1
11404877254,250000,44708261,1
11404877254,250000,44708260,1
11404877254,250000,44708259,1
11404877254,250000,44708258,1
11404877254,250000,44708257,1
11404877254,250000,44708256,1
11404877254,250000,44708255,1
11404877254,250000,44708254,1
11404877254,250000,44708253,1
11404877254,250000,44708252,1
11404877254,250000,44708251,1
11404877254,250000,44708250,1
11404877254,250000,44708249,1
11404877254,250000,44708248,1
11404877254,250000,44708247,1
11404877254,250000,44708246,1
11404877254,250000,44708245,1
11404877254,250000,44708244,1
11404877254,250000,44708243,1
11404877254,250000,44708242,1
11404877254,250000,44708241,1
11404877254,250000,44708240,1
11404877254,250000,44708238,1
11404877254,250000,44708237,1
11404877254,250000,44708236,1
11404877254,250000,44708235,1
11404877254,250000,44708234,1
11404877254,250000,44708233,1
11404877254,250000,44708232,1
11404877254,250000,44708231,1
11404877254,250000,44708230,1
11404877254,250000,44708229,1
11404877254,250000,44708228,1
11404877254,250000,44708227,1
11404877254,250000,44708226,1
11404877254,250000,44708225,1
11404877254,250000,44708224,1
11404877254,250000,44708223,1
11404877254,250000,44708222,1
11404877254,250000,44708221,1
11404877254,250000,44708220,1
11404877254,250000,44708219,1
11404877254,250000,44708218,1
11404877254,250000,44708217,1
11404877254,250000,44708216,1
11404877254,250000,44708215,1
11404877254,250000,44708214,1
11404877254,250000,44708213,1
11404877254,250000,44708212,1
11404877254,250000,44708211,1
11404877254,250000,44708210,1
11404877254,250000,44708209,1
11404877254,250000,44708239,1
9798450514,176436,10184,1
11035683985,210166,11113,1
22638203332,300000,162420,1
5674347796,420296,1756,1
8427249202,239752,100234,1
23543748354,278760,41775,1
15135416000,349079,42825,1
15378421844,200000,1305,1
16307668399,210662,41774,1
61710480608,300002,162419,1
6618256319,1000000,85725,1
7717408491,299895,111,1
7491008425,239090,111389,1
30576196380,600000,3224,1
36906240800,500000,1997,1
44984770340,500000,19693,1
50495261007,500000,1629,1
51880843180,500000,1671,1
78205644036,500000,1782,1
97605981039,500000,1570,1
8259181821,247748,10789,1
8259181821,306364,10477,1
5983824971,4603451,1147,1
6016770980,587871,45499,1
6908231656,227816,111388,1
6908231656,248130,89636,1
7447337062,244016,74931,1
8715929133,500000,1630,1
8715929133,500000,413873,1
6238851967,1117528,80745,1
7692252224,46267,24,1
9093699947,227449,939,1
7440311514,295334,22926,1
7447337062,238258,76439,1
400000000000,700000,57,1
7447337062,692538,37995,1
9059047117,197248,3609,1
5014540288,451902,1755,1
7447337062,237680,79677,1
9664196794,63301,358,1
9802180307,45038,119,1
7725999119,272499,11112,1
48800000000,382000,79868,1
30000000000,90000,192559,1
30000000000,210000,797496,1
51000000000,120000,308435,1
18384663408,500000,5016,1
49301664702,452392,33858,1
9093699947,241683,785,1
6263277387,283098,33857,1
13048194697,500000,1868,1
14628280108,500000,1886,1
7692252224,179779,378,1
15528918633,300003,162418,1
10000678584,700000,5584,1
7501017876,226346,76437,1
15400881383,300015,61982,1
8518768346,157158,377,1
7060724398,74431,9496,1
6040397451,457546,80744,1
19104110521,185113,11110,1
9000000000,250000,242526,1
37736073947,823952,17784,1
11433520955,500000,154332,1
12000000000,200037,1207,1
12621156674,21000,1,1
12621156674,21000,1541323,1
12621156674,21000,1541322,1
30000000000,210000,797483,1
30000000000,85051,15402,1
10554147955,250000,44708171,1
10554147955,250000,44708170,1
10554147955,250000,44708169,1
10554147955,250000,44708168,1
10554147955,250000,44708167,1
10554147955,250000,44708166,1
10554147955,250000,44708165,1
10554147955,250000,44708164,1
11433520955,500000,1628,1
11414555589,715861,6,1
7158953472,1972009,16993,1
9545271297,226042,89634,1
35730782488,600000,1670,1
12917933821,250000,44708163,1
16600207418,730000,106,1
21295566000,329625,42824,1
403142625839,89509,8564,1
9200000000,180720,292,1
9180144063,99085,8563,1
13526082921,247760,3615,1
13526082921,245738,10771,1
22778305189,500000,1775,1
11066804944,239620,99447,1
102560933748,300001,162414,1
13264714917,287860,23,1
7701834125,3683048,1145,1
7874343000,431492,42823,1
