gas_price,gas_used,nonce
100938746508,170714,61
439823921281,71000,73
10844611714,312938,10699
6794135614,430465,45500
7939440048,241770,100246
7273326321,228780,111399
10653091293,280451,5978
7273326321,231966,74938
7273326321,256166,103038
5454994740,1972009,7266
7984773446,217372,157
5454994740,1972009,16995
14899489050,206228,85512
10319866746,185571,81
5292960032,201979,85511
8730966808,253106,79688
7939440048,244244,100412
11133164335,500000,4786
19965166131,321465,3037
14915686539,21015,61995
16527816443,700000,10764
46000000000,120000,4
46000000000,120000,27
52000000000,21000,155913
127023109582,269256,74686
20584411803,437349,558
10361633371,221278,10872
9634717525,226654,103037
10361633371,242348,10773
50133244836,600000,1816
10361633371,310258,10800
19846368674,211471,11114
11895836940,63605,291
10217741601,283930,161
27539053234,404073,76
11100015991,248626,89578
11100015991,244500,100411
8937493987,74978,9436
8937493987,81438,9432
8937493987,81580,9371
8283936241,333322,80749
11488103588,46267,25
10687480722,257078,110219
9505585647,222573,10185
9566703788,274505,8095
7124987148,500000,3
49804855413,129936,85510
13458489196,243106,258
7124987148,139795,85509
51710435802,71000,62
13491532314,500001,8022
36746997654,500000,1749
38164797372,500000,1672
142756612884,249112,33864
11916553149,230721,1306
7124987148,280034,33863
65421235996,500000,1783
10687480722,229728,99892
12349610302,312796,10401
120541660000,229937,42826
8000000000,139532,15
10655464347,352005,80748
8812773431,21000,1
39780000000,21000,175
39780000000,21000,113
7215419201,398054,7681
11100468617,302928,24645
12000000000,21000,2027
29311000165,144087,8004
10599388479,236484,273
8573688018,182295,8003
13785334593,272140,41776
19148457545,300000,61993
18033414081,270781,8828
10288425623,272624,82246
122144384773,92158,9000
15270309372,705867,2021
8573688018,101799,8999
10288425622,280928,100245
11942752008,200054,10591
28422749575,300003,162436
40124916891,400000,12882
10288425622,1541260,89646
12831246396,1487554,0
10288425622,1541260,89645
207464618339,152316,33862
13458489196,364802,15
6858950415,171846,33861
264621698453,129212,85508
10599388479,190500,509
6858950415,138997,85507
8323419656,2500000,4179
47437641386,151852,33860
18398595250,217067,1081
6510644526,171382,33859
11412511003,242536,10806
9765966789,237242,92047
9765966789,310232,99457
71789859468,500000,1723
9166158600,312156,89644
9951870624,297744,100241
42511801745,500000,1791
51108162216,335508,4906
225447521484,21002,2347
231498791015,21001,8021
9951870624,241330,92046
464910105567,71000,72
389484888511,500000,1630
11551810555,242458,10566
11551810555,247682,10853
11551810555,247714,3579
374503072105,350000,5386
9373911840,238394,110213
9373911840,296922,103031
51503691706,207813,41654
12431737794,152769,1231
6430286205,213717,41653
389604279174,145043,8566
8000000000,251899,861
8037857756,158804,8565
10202410396,552728,10500
8573803345,296878,99887
5479051845,1430557,64
9137205710,705504,39618
84763642159,300000,162423
8176760244,236606,89639
9800077258,242508,10498
8176760244,266678,101247
9800077258,247778,3590
10206009610,526390,10900
10206009610,247852,3665
9342916938,657584,99451
39915103042,600000,2009
250000000000,700000,547
11576625014,500001,8020
10312705791,308326,10802
10312705791,247810,3609
11404877254,250000,44708272
11404877254,250000,44708271
11404877254,250000,44708270
11404877254,250000,44708269
11404877254,250000,44708268
11404877254,250000,44708267
11404877254,250000,44708266
11404877254,250000,44708265
11404877254,250000,44708264
11404877254,250000,44708263
11404877254,250000,44708262
11404877254,250000,44708261
11404877254,250000,44708260
11404877254,250000,44708259
11404877254,250000,44708258
11404877254,250000,44708257
11404877254,250000,44708256
11404877254,250000,44708255
11404877254,250000,44708254
11404877254,250000,44708253
11404877254,250000,44708252
11404877254,250000,44708251
11404877254,250000,44708250
11404877254,250000,44708249
11404877254,250000,44708248
11404877254,250000,44708247
11404877254,250000,44708246
11404877254,250000,44708245
11404877254,250000,44708244
11404877254,250000,44708243
11404877254,250000,44708242
11404877254,250000,44708241
11404877254,250000,44708240
11404877254,250000,44708238
11404877254,250000,44708237
11404877254,250000,44708236
11404877254,250000,44708235
11404877254,250000,44708234
11404877254,250000,44708233
11404877254,250000,44708232
11404877254,250000,44708231
11404877254,250000,44708230
11404877254,250000,44708229
11404877254,250000,44708228
11404877254,250000,44708227
11404877254,250000,44708226
11404877254,250000,44708225
11404877254,250000,44708224
11404877254,250000,44708223
11404877254,250000,44708222
11404877254,250000,44708221
11404877254,250000,44708220
11404877254,250000,44708219
11404877254,250000,44708218
11404877254,250000,44708217
11404877254,250000,44708216
11404877254,250000,44708215
11404877254,250000,44708214
11404877254,250000,44708213
11404877254,250000,44708212
11404877254,250000,44708211
11404877254,250000,44708210
11404877254,250000,44708209
11404877254,250000,44708239
9798450514,176436,10184
11035683985,210166,11113
22638203332,300000,162420
5674347796,420296,1756
8427249202,239752,100234
23543748354,278760,41775
15135416000,349079,42825
15378421844,200000,1305
16307668399,210662,41774
61710480608,300002,162419
6618256319,1000000,85725
7717408491,299895,111
7491008425,239090,111389
30576196380,600000,3224
36906240800,500000,1997
44984770340,500000,19693
50495261007,500000,1629
51880843180,500000,1671
78205644036,500000,1782
97605981039,500000,1570
8259181821,247748,10789
8259181821,306364,10477
5983824971,4603451,1147
6016770980,587871,45499
6908231656,227816,111388
6908231656,248130,89636
7447337062,244016,74931
8715929133,500000,1630
8715929133,500000,413873
6238851967,1117528,80745
7692252224,46267,24
9093699947,227449,939
7440311514,295334,22926
7447337062,238258,76439
400000000000,700000,57
7447337062,692538,37995
9059047117,197248,3609
5014540288,451902,1755
7447337062,237680,79677
9664196794,63301,358
9802180307,45038,119
7725999119,272499,11112
48800000000,382000,79868
30000000000,90000,192559
30000000000,210000,797496
51000000000,120000,308435
18384663408,500000,5016
49301664702,452392,33858
9093699947,241683,785
6263277387,283098,33857
13048194697,500000,1868
14628280108,500000,1886
7692252224,179779,378
15528918633,300003,162418
10000678584,700000,5584
7501017876,226346,76437
15400881383,300015,61982
8518768346,157158,377
7060724398,74431,9496
6040397451,457546,80744
19104110521,185113,11110
9000000000,250000,242526
37736073947,823952,17784
11433520955,500000,154332
12000000000,200037,1207
12621156674,21000,1
12621156674,21000,1541323
12621156674,21000,1541322
30000000000,210000,797483
30000000000,85051,15402
10554147955,250000,44708171
10554147955,250000,44708170
10554147955,250000,44708169
10554147955,250000,44708168
10554147955,250000,44708167
10554147955,250000,44708166
10554147955,250000,44708165
10554147955,250000,44708164
11433520955,500000,1628
11414555589,715861,6
7158953472,1972009,16993
9545271297,226042,89634
35730782488,600000,1670
12917933821,250000,44708163
16600207418,730000,106
21295566000,329625,42824
403142625839,89509,8564
9200000000,180720,292
9180144063,99085,8563
13526082921,247760,3615
13526082921,245738,10771
22778305189,500000,1775
11066804944,239620,99447
102560933748,300001,162414
13264714917,287860,23
7701834125,3683048,1145
7874343000,431492,42823
19226152595,700000,162
14293469254,300000,162413
11808865092,297160,8094
11895405903,500000,2297
9170477347,1437400,79676
9737590262,578551,809
9170477347,1437400,79675
8501513052,255650,11109
25000000000,220488,4744
42804137243,249112,33856
9443164257,251899,75
6113651565,280434,33855
7409348608,542895,80743
8878442701,208458,11108
19881210930,317162,29326
91911511405,500000,4198
7721417722,1000000,85724
10596318651,252594,10690
14507436556,269823,8827
16786012866,195229,11107
14433230850,300015,105038
15876553937,300015,61979
86800000000,382000,146884
11465373084,283174,14831
14431155366,242538,10497
50326149833,300001,5689
14431155366,247754,3589
16786388256,27938,175198
14640000000,150007,489
14943828207,49542,1087
10350000000,21000,4
10350000000,63209,3
10350000000,48792,445
19000000000,200000,182
30000000000,55000,134
36000000000,300000,18
40000000000,164641,4565
18890815468,21015,162408
96463032267,500000,51817
58423095777,315768,15090
12878462425,244506,100401
235313491422,169914,85506
11778922400,164795,3
8586059217,190334,85505
17171283234,500001,8019
24382275932,300015,61978
43168393415,700000,10499
18047862503,263395,41773
21123846065,500000,5015
34291044811,315926,71
11448078958,330556,72379
11448078957,330556,74670
12831246396,1683716,0
70022663944,400000,13034
15493066855,250000,44708152
15493066855,250000,44708151
15493066855,250000,44708150
15493066855,250000,44708149
15493066855,250000,44708148
15493066855,250000,44708147
15493066855,250000,44708146
15493066855,250000,44708145
15493066855,250000,44708144
15493066855,250000,44708143
15493066855,250000,44708142
15493066855,250000,44708141
15493066855,250000,44708140
15493066855,250000,44708139
15493066855,250000,44708138
11966587860,500000,4716
11966587861,500000,179818
13000000000,244836,179
1000000000000,63000,331650
24243477073,264648,101242
21516043710,21015,61976
26851400015,21015,162406
30545081866,226960,10528
30000000000,210000,797474
30000000000,420000,1186359
40885000000,21000,40
